ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
HALLMARK_INFLAMMATORY_RESPONSE, Inflammatory Response,132,-0.5393540765724267,-1.5955268781174783,1.1764220070194965e-5,2.833255692828078e-4,2.833255692828078e-4,3217,"tags=42%, list=24%, signal=32%",MET/RAF1/ABI1/ADM/KCNJ2/CDKN1A/MYC/SLC7A1/CD82/CD69/CXCL10/ITGB8/CMKLR1/FPR1/PDE4B/CX3CL1/MMP14/HAS2/IL1R1/NDP/P2RX7/TNFAIP6/IL18/EREG/IL1B/PVR/LY6E/ITGB3/SERPINE1/TLR3/EMP3/IL15RA/RTP4/CALCRL/IL10RA/TLR2/NAMPT/CD40/C5AR1/CSF1/LIF/GNA15/CHST2/SGMS2/ICAM1/INHBA/RGS16/LPAR1/EDN1/SPHK1/PLAUR/CD14/AXL/PCDH7/IRF7/IL2RB,0.5933254763964051
HALLMARK_MYOGENESIS, Myogenesis,136,-0.5344272228192333,-1.5706194173895158,1.8477754518443987e-5,2.833255692828078e-4,2.833255692828078e-4,3451,"tags=46%, list=26%, signal=34%",MYH9/GSN/RB1/AEBP1/TAGLN/EPHB3/PDLIM7/SVIL/COL6A2/TEAD4/TPM2/COL4A2/MEF2D/CDKN1A/IFRD1/DMD/ITGB4/PTGIS/RIT1/COL3A1/COL6A3/MYH11/CRYAB/ENO3/VIPR1/APP/RYR1/MEF2A/HSPB2/LSP1/AGRN/SGCD/AK1/SH2B1/CDH13/HSPB8/KIFC3/GNAO1/FST/CD36/PTP4A3/IGFBP3/WWTR1/CHRNB1/CAMK2B/PSEN2/LARGE1/COL1A1/COX7A1/AKT2/PFKM/SPHK1/MEF2C/MYL6B/IGF1/FGF2/IGFBP7/PRNP/MAPRE3/DENND2B/NCAM1/LAMA2,0.5756102610711286
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION, Epithelial Mesenchymal Transition,177,-0.5144255211090467,-1.5269961597911588,1.3445239333825071e-5,2.833255692828078e-4,2.833255692828078e-4,3344,"tags=43%, list=25%, signal=32%",COL1A2/COMP/TAGLN/WIPF1/COL6A2/MEST/TPM2/COL4A2/TPM4/MYL9/ACTA2/TGFBI/CCN2/SFRP1/COL3A1/COL6A3/CCN1/MMP14/COL16A1/FBLN2/GPC1/VIM/PMP22/MAGEE1/ABI3BP/SAT1/LAMA1/PVR/SGCD/SNTB1/ITGB3/SERPINE1/EMP3/FAP/CD59/NT5E/GPX7/FBN1/P3H1/SFRP4/FLNA/HTRA1/THY1/BASP1/FSTL1/IGFBP3/FZD8/PCOLCE/ENO2/FAS/LUM/COLGALT1/GEM/COL5A1/EFEMP2/SERPINE2/COL1A1/INHBA/MGP/PLAUR/DST/PDLIM4/COL7A1/FBLN1/ELN/CALD1/SNAI2/COL4A1/GJA1/FGF2/DPYSL3/GLIPR1/ANPEP/SPP1/TGM2/LAMA2,0.5933254763964051
HALLMARK_ALLOGRAFT_REJECTION, Allograft Rejection,129,-0.5081418079870137,-1.4963736269986145,3.163185541071247e-4,0.002910130697785547,0.0029101306977855476,2413,"tags=29%, list=18%, signal=24%",IL11/FGR/LY86/IL16/IL18/IFNGR1/EREG/APBB1/HDAC9/IL1B/CTSS/BCAT1/CD86/TLR3/CD2/GPR65/TLR2/WAS/CD40/FLNA/THY1/ST8SIA4/ITGAL/CSF1/LIF/F2R/FAS/PRKCB/ICAM1/IGSF6/JAK2/INHBA/IRF7/HLA-DMB/RPS19/IL27RA/IL2RB/CCND2,0.49849310876659025
HALLMARK_KRAS_SIGNALING_UP, Kras Signaling Up,155,-0.5000597737294483,-1.4856444775149957,2.831352342845889e-4,0.002910130697785547,0.0029101306977855476,2829,"tags=37%, list=22%, signal=30%",GPRC5B/CXCL10/VWA5A/CMKLR1/RBP4/TMEM158/SEMA3B/IKZF1/ADAM17/SATB1/FLT4/PLVAP/TFPI/F13A1/GFPT2/ADGRA2/EREG/ADAM8/HDAC9/IL1B/CTSS/CFH/TRAF1/SCG5/F2RL1/ADGRL4/LAT2/MMP11/DOCK2/IL10RA/EMP1/TPH1/PRDM1/IGFBP3/CPE/LIF/CDADC1/ACE/ANGPTL4/AKAP12/PTCD2/TSPAN1/CD37/INHBA/RGS16/KCNN4/AKT2/PLAUR/MTMR10/IL33/DNMBP/GYPC/USP12/ZNF639/SPP1/FBXO4/CCND2/SPON1,0.49849310876659025
HALLMARK_APICAL_SURFACE, Apical Surface,32,-0.5502307443487651,-1.4275596363429268,0.032474804031354984,0.15054545454545454,0.15054545454545454,2694,"tags=34%, list=20%, signal=27%",CX3CL1/CD160/APP/EFNA5/THY1/FLOT2/CROCC/PLAUR/AKAP7/IL2RB/AFAP1L2,0.2663506570885256
HALLMARK_ANGIOGENESIS, Angiogenesis,30,-0.5531050550078394,-1.4191742078974514,0.041065482796892344,0.15741768405475398,0.15741768405475398,2631,"tags=30%, list=20%, signal=24%",COL3A1/APP/SLCO2A1/FSTL1/LPL/LUM/TNFRSF21/SPP1/CCND2,0.23439264729468612
HALLMARK_HYPOXIA, Hypoxia,166,-0.45809609660608736,-1.364547538940953,0.003968204699120905,0.03042290269326027,0.03042290269326027,3622,"tags=38%, list=28%, signal=28%",NAGK/NR3C1/GYS1/SLC2A1/LXN/IDS/ENO1/ANKZF1/MYH9/WSB1/AK4/FBP1/TGFB3/ADM/GAPDH/CDKN1A/ETS1/NDST2/TGFBI/MXI1/CCN2/DDIT3/CCN1/GPC1/PRKCA/ENO3/MT1E/UGP2/PGF/PAM/SERPINE1/ISG20/ANXA2/PIM1/SLC2A3/CAVIN1/HS3ST1/IGFBP3/NFIL3/SDC3/AMPD3/ENO2/ALDOC/ANGPTL4/AKAP12/CHST2/COL5A1/P4HA2/ERRFI1/PLIN2/LARGE1/RRAGD/TMEM45A/CAVIN3/PLAUR/PNRC1/CHST3/PFKFB3/DDIT4/HEXA/TGM2/SDC2/CP,0.40701791892395395
HALLMARK_IL2_STAT5_SIGNALING, Il2 Stat5 Signaling,157,-0.4562013948686071,-1.3560084539705104,0.006702898459666688,0.044047618449238234,0.044047618449238234,3766,"tags=41%, list=29%, signal=29%",ITIH5/NDRG1/MAFF/AHNAK/GADD45B/AHR/ODC1/CD81/SLC1A5/CASP3/HUWE1/CD79B/CCND3/ARL4A/DHRS3/CTSZ/GSTO1/MYC/IFITM3/CXCL10/COCH/CAPN3/ENO3/GBP4/CDC6/IFNGR1/CD83/COL6A1/TRAF1/CD86/GPR65/PIM1/NT5E/PTCH1/SLC2A3/IL10RA/DCPS/EMP1/AGER/NFIL3/PNP/GLIPR2/CSF1/LIF/SH3BGRL2/PHTF2/EEF1AKMT1/TNFRSF21/PTRH2/MYO1E/PLIN2/RRAGD/RGS16/PHLDA1/PLAGL1/PRAF2/PRNP/PLSCR1/S100A1/IL2RB/SPP1/TGM2/MAP3K8/CCND2,0.40701791892395395
HALLMARK_COMPLEMENT, Complement,156,-0.4458967998412402,-1.3272283628683836,0.018425993399619575,0.10594946204781255,0.10594946204781255,3284,"tags=31%, list=25%, signal=23%",CTSC/CASP3/CTSB/C1R/TIMP2/RAF1/COL4A2/SERPING1/DOCK9/CASP10/PIK3CA/F7/MMP14/KLKB1/PLEK/PCLO/PRSS36/BRPF3/CTSV/CTSS/C1QC/CFH/ITGAM/GNG2/SERPINE1/PDP1/PIM1/PIK3CG/CD59/CDH13/PHEX/CASP9/PRKCD/WAS/CD36/PSMB9/ERAP2/JAK2/LGMN/PLAUR/DYRK2/CASP7/GCA/SH2B3/DOCK10/IRF7/PLSCR1/CP,0.35248785758361917
